,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,explicit,artists,like
109,0.564,0.162,6,-12.06,1,0.0331,0.984,0.358,0.125,0.57,62.56,201613,4,41,False,['Zoot Sims'],1
110,0.425,0.0429,1,-24.86,1,0.0408,0.951,0.0184,0.148,0.255,96.097,419627,4,64,False,"['Stan Getz', 'Bob Brookmeyer']",1
111,0.352,0.0351,1,-22.254,1,0.0347,0.975,0.607,0.193,0.21,56.16,323600,4,50,False,['Bobby Hutcherson'],1
112,0.524,0.222,3,-8.967,1,0.0346,0.907,0.00124,0.0544,0.325,120.71,322000,4,55,False,['Dexter Gordon'],1
113,0.525,0.31,10,-17.489,1,0.0791,0.761,0.434,0.0618,0.677,156.731,371400,4,43,False,['Cymande'],1
114,0.328,0.49,9,-13.683,0,0.0308,0.768,0.836,0.186,0.244,155.448,440014,4,47,False,['Naxatras'],1
115,0.718,0.73,9,-7.405,1,0.0292,0.54,0.0137,0.147,0.729,122.904,221500,4,3,False,['Hamid Al Shaeri'],1
116,0.755,0.842,2,-7.293,0,0.129,0.388,0.541,0.105,0.798,123.203,516587,4,59,False,['Idris Muhammad'],1
117,0.781,0.385,10,-9.976,0,0.0789,0.0101,0.587,0.166,0.842,105.812,240743,4,59,False,['Khruangbin'],1
118,0.786,0.921,0,-6.842,1,0.101,0.0552,0.00178,0.0629,0.621,118.373,381040,4,61,False,['Steve Monite'],1
119,0.848,0.507,5,-10.094,1,0.0397,0.487,0.00464,0.0611,0.689,98.262,308440,4,52,False,['Letta Mbulu'],1
120,0.588,0.59,4,-9.209,0,0.047,0.579,0.0,0.145,0.894,83.888,152733,4,42,False,['Dom Salvador & Abolição'],1
121,0.87,0.68,5,-8.201,0,0.055,0.0339,0.00758,0.0691,0.873,115.369,376973,4,49,False,['Oby Onyioha'],1
122,0.713,0.625,11,-7.283,0,0.17,0.539,0.249,0.0353,0.701,117.318,238864,4,45,False,['Steve Watson'],1
123,0.881,0.797,6,-6.732,0,0.0622,0.0332,0.167,0.206,0.711,123.003,262924,4,55,False,['Coeo'],1
124,0.77,0.354,9,-12.028,0,0.0333,0.468,0.893,0.11,0.438,109.879,372387,4,53,False,['KOKOROKO'],1
125,0.427,0.62,8,-8.639,0,0.0317,0.00326,3.76e-06,0.255,0.371,126.611,170000,4,0,False,['Al Massrieen'],1
126,0.748,0.745,0,-4.53,1,0.0626,0.00482,2.27e-06,0.11,0.398,105.925,181213,4,34,False,"['WizKid', 'Trey Songz']",1
127,0.816,0.781,1,-4.237,0,0.0425,0.692,0.00935,0.0835,0.937,99.95,185899,4,74,False,['Burna Boy'],1
128,0.757,0.737,4,-6.728,0,0.114,0.311,0.0,0.113,0.635,98.057,207031,4,77,False,"['Jorja Smith', 'Burna Boy']",1
129,0.807,0.774,4,-4.553,0,0.235,0.206,0.000338,0.127,0.767,98.048,198367,4,61,False,['WizKid'],1
130,0.814,0.764,0,-7.944,0,0.053,0.0794,0.0174,0.0696,0.899,125.026,224680,4,60,False,"['Wande Coal', 'DJ Tunez']",1
131,0.841,0.644,9,-3.284,0,0.083,0.594,0.00402,0.142,0.881,108.003,255608,4,66,True,"['Starboy', 'WizKid', 'Ceeza Milli', 'Spotless', 'Terri']",1
132,0.704,0.568,0,-4.819,0,0.413,0.424,0.0,0.13,0.424,86.895,114947,1,30,False,['Angelo King'],1
133,0.525,0.51,6,-8.28,1,0.109,0.211,0.0,0.694,0.638,150.065,201539,4,56,False,['Michael Bublé'],1
134,0.56,0.434,4,-14.151,0,0.0729,0.55,0.0,0.346,0.664,112.803,187040,3,73,False,['Frank Sinatra'],1
135,0.566,0.0882,10,-19.292,1,0.287,0.927,1.31e-05,0.0927,0.72,173.213,184440,4,34,False,['Fred Astaire'],1
136,0.407,0.589,2,-5.32,1,0.03,0.547,0.0,0.281,0.559,109.009,204147,4,7,False,['Frank Sinatra'],1
137,0.64,0.296,4,-12.266,0,0.0585,0.505,4.66e-06,0.083,0.387,119.647,147520,4,12,False,"['Frank Sinatra', 'Count Basie']",1
138,0.513,0.0589,2,-14.647,0,0.0398,0.972,2.87e-06,0.18,0.402,104.889,181413,5,4,False,"['Billie Holiday', 'Eddie Heywood']",1
139,0.462,0.219,8,-9.2,1,0.0428,0.84,0.00132,0.133,0.349,80.447,246440,4,3,False,"['Louis Armstrong', ""Sy Oliver's Orchestra""]",1
140,0.62,0.235,3,-11.639,1,0.048,0.834,0.0,0.237,0.54,109.626,160653,4,2,False,['Bing Crosby'],1
141,0.648,0.306,0,-13.395,1,0.0883,0.588,0.0,0.252,0.661,122.027,351893,4,12,False,"['Ella Fitzgerald', 'Louis Armstrong']",1
142,0.734,0.203,7,-13.658,1,0.0457,0.875,0.000124,0.0902,0.519,112.166,166360,4,52,False,"['Harry Connick, Jr.']",1
143,0.628,0.502,5,-11.929,1,0.0325,0.301,0.0,0.403,0.918,131.437,170840,4,44,False,['The Isley Brothers'],1
144,0.647,0.389,2,-11.833,1,0.0363,0.323,0.000148,0.0935,0.329,120.796,203067,4,42,False,['Henri Salvador'],1
145,0.463,0.273,0,-15.364,0,0.074,0.907,0.000367,0.101,0.293,146.426,239960,4,59,False,['Aretha Franklin'],1
146,0.809,0.508,1,-9.182,1,0.0328,0.654,0.000224,0.105,0.732,121.968,181467,4,64,False,['Vicente Garcia'],1
147,0.91,0.656,2,-6.456,1,0.0376,0.0399,2.38e-05,0.293,0.906,122.954,205973,4,61,False,['Vicente Garcia'],1
148,0.874,0.604,6,-5.426,0,0.0343,0.107,6.83e-05,0.0918,0.836,132.991,239427,4,54,False,['Vicente Garcia'],1
149,0.726,0.177,1,-14.824,0,0.0353,0.896,2.14e-06,0.116,0.618,92.934,214547,4,59,False,"['Natalia Lafourcade', 'Los Macorinos']",1
150,0.698,0.724,5,-8.813,0,0.0428,0.755,0.847,0.106,0.851,120.02,268028,4,31,False,"[""L'Impératrice""]",1
151,0.268,0.192,4,-17.779,0,0.0325,0.898,0.878,0.384,0.0568,110.61,1032707,3,33,False,['Harmonium'],1
152,0.598,0.71,0,-6.839,0,0.0272,0.0476,1.77e-05,0.1,0.726,97.976,274294,4,53,False,['Tame Impala'],1
153,0.424,0.615,9,-6.217,0,0.0325,0.0158,0.000389,0.0844,0.155,77.935,318591,4,69,False,['Tame Impala'],1
154,0.924,0.485,1,-8.985,0,0.082,0.105,0.0,0.076,0.325,120.034,234787,4,3,False,"['Flight Facilities', 'Giselle']",1
155,0.554,0.885,2,-6.212,1,0.0443,0.0323,0.0238,0.345,0.367,104.945,258707,4,55,False,['Tame Impala'],1
156,0.75,0.664,0,-7.306,0,0.0723,0.428,0.634,0.0931,0.586,100.026,266464,4,52,False,['Harold van Lennep'],1
157,0.716,0.534,6,-9.327,1,0.0531,0.00729,0.74,0.0682,0.271,123.003,444878,4,54,False,"[""N'to""]",1
158,0.461,0.526,6,-10.668,1,0.0506,0.00142,0.861,0.108,0.0401,120.011,416000,4,57,False,"[""N'to""]",1
159,0.697,0.877,3,-4.465,1,0.0462,0.462,0.00943,0.083,0.802,101.99,173631,4,66,False,['alt-J'],1
160,0.574,0.447,5,-10.38,1,0.0296,0.337,0.513,0.114,0.329,100.003,350164,4,0,False,"[""L'Impératrice""]",1
161,0.733,0.59,6,-7.208,0,0.121,0.000672,0.874,0.061,0.35,89.685,182416,4,25,False,['Blunted Beatz'],1
162,0.424,0.509,1,-8.47,1,0.0309,0.309,0.846,0.124,0.116,122.895,587733,4,42,False,['Unknown Mortal Orchestra'],1
163,0.603,0.396,11,-12.765,1,0.034,0.759,0.856,0.275,0.198,95.0,312640,4,48,False,['Emancipator'],1
164,0.472,0.366,11,-12.595,0,0.0286,0.15,0.308,0.0837,0.171,127.167,382297,4,75,False,['Pink Floyd'],1
165,0.266,0.294,7,-11.938,0,0.0291,0.771,0.697,0.107,0.0397,137.941,811077,3,67,False,['Pink Floyd'],1
166,0.275,0.216,5,-13.818,1,0.0345,0.768,0.897,0.0832,0.181,116.388,283872,4,67,False,['Pink Floyd'],1
167,0.703,0.237,5,-14.283,1,0.0541,0.852,0.637,0.0924,0.171,107.992,173627,4,54,False,['Jungle'],1
168,0.279,0.852,7,-7.838,1,0.0511,0.0119,0.076,0.0624,0.438,117.418,558933,4,16,False,['Lynyrd Skynyrd'],1
169,0.529,0.461,2,-8.365,1,0.0264,0.365,6.51e-05,0.139,0.665,146.661,228587,4,44,False,['The Stills-Young Band'],1
170,0.648,0.309,2,-12.432,1,0.0264,0.526,0.000249,0.124,0.407,112.929,303213,4,72,False,['Neil Young'],1
171,0.502,0.4,7,-13.697,0,0.0294,0.856,0.000375,0.333,0.435,127.182,227706,4,68,False,"['Neil Young', 'Crazy Horse']",1
172,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,283800,4,82,False,['Lynyrd Skynyrd'],1
173,0.822,0.607,9,-6.438,1,0.0493,8.2e-05,0.84,0.0798,0.273,123.021,386339,4,14,False,"['Pierre Reynolds', 'Bruce Bailey']",1
174,0.696,0.545,2,-9.07,1,0.0589,0.00124,0.732,0.053,0.477,122.51,459360,4,0,False,"['Gerd', 'Marcoradi']",1
175,0.785,0.54,9,-13.329,1,0.0484,0.219,0.938,0.111,0.0606,122.997,396213,4,26,False,['Oliver Schories'],1
176,0.753,0.651,10,-9.834,0,0.0563,0.0005,0.8,0.0935,0.0875,123.002,455297,4,34,False,"['Ali Love', 'feat. Kali', 'Maceo Plex']",1
177,0.832,0.876,6,-5.124,0,0.205,0.173,0.737,0.162,0.635,120.057,201939,4,59,False,"['Feder', 'Lyse']",1
